item_id,module,band,exposure_count,correct_count,p_value,mean_latency_ms
RD-PRE-03,RD,Pre-A1,24,16,0.67,71400
RD-PRE-04,RD,Pre-A1,29,21,0.72,74600
RD-PRE-05,RD,Pre-A1,14,7,0.50,77800
RD-PRE-06,RD,Pre-A1,19,11,0.58,81000
RD-A1-01,RD,A1,24,16,0.67,84200
RD-A1-02,RD,A1,29,21,0.72,87400
RD-A1-03,RD,A1,14,7,0.50,90600
RD-A1-04,RD,A1,19,11,0.58,93800
RD-A1-05,RD,A1,24,16,0.67,97000
RD-A1-06,RD,A1,29,21,0.72,65200
RD-A2-01,RD,A2,14,7,0.50,68400
RD-A2-02,RD,A2,19,11,0.58,71600
RD-A2-03,RD,A2,24,16,0.67,74800
RD-A2-04,RD,A2,29,21,0.72,78000
RD-A2-05,RD,A2,14,7,0.50,81200
RD-A2-06,RD,A2,19,11,0.58,84400
RD-B1-01,RD,B1,24,16,0.67,87600
RD-B1-02,RD,B1,29,21,0.72,90800
RD-B1-03,RD,B1,14,7,0.50,94000
RD-B1-04,RD,B1,19,11,0.58,97200
RD-B1-05,RD,B1,24,16,0.67,65400
RD-B1-06,RD,B1,29,21,0.72,68600
RD-B2-01,RD,B2,14,7,0.50,71800
RD-B2-02,RD,B2,19,11,0.58,75000
RD-B2-03,RD,B2,24,16,0.67,78200
RD-B2-04,RD,B2,29,21,0.72,81400
RD-B2-05,RD,B2,14,7,0.50,84600
RD-B2-06,RD,B2,19,11,0.58,87800
RD-C1-01,RD,C1,24,16,0.67,91000
RD-C1-02,RD,C1,29,21,0.72,94200
RD-C1-03,RD,C1,14,7,0.50,97400
RD-C1-04,RD,C1,19,11,0.58,65600
RD-C1-05,RD,C1,24,16,0.67,68800
RD-C1-06,RD,C1,29,21,0.72,72000
RD-C2-01,RD,C2,14,7,0.50,75200
RD-C2-02,RD,C2,19,11,0.58,78400
RD-C2-03,RD,C2,24,16,0.67,81600
RD-C2-04,RD,C2,29,21,0.72,84800
RD-C2-05,RD,C2,14,7,0.50,88000
RD-C2-06,RD,C2,19,11,0.58,91200
LSN-PRE-01,LSN,Pre-A1,12,6,0.50,54000
LSN-PRE-02,LSN,Pre-A1,18,11,0.61,56800
LSN-PRE-03,LSN,Pre-A1,24,16,0.67,59600
LSN-PRE-04,LSN,Pre-A1,30,22,0.73,62400
LSN-PRE-05,LSN,Pre-A1,14,7,0.50,65200
LSN-PRE-06,LSN,Pre-A1,20,12,0.60,68000
LSN-A1-01,LSN,A1,26,17,0.65,70800
LSN-A1-02,LSN,A1,32,23,0.72,73600
LSN-A1-03,LSN,A1,16,8,0.50,76400
LSN-A1-04,LSN,A1,22,13,0.59,79200
LSN-A1-05,LSN,A1,28,18,0.64,54000
LSN-A1-06,LSN,A1,12,9,0.75,56800
LSN-A2-01,LSN,A2,18,9,0.50,59600
LSN-A2-02,LSN,A2,24,14,0.58,62400
LSN-A2-03,LSN,A2,30,20,0.67,65200
LSN-A2-04,LSN,A2,14,10,0.71,68000
LSN-A2-05,LSN,A2,20,10,0.50,70800
LSN-A2-06,LSN,A2,26,15,0.58,73600
LSN-B1-01,LSN,B1,32,21,0.66,76400
LSN-B1-02,LSN,B1,16,12,0.75,79200
LSN-B1-03,LSN,B1,22,11,0.50,54000
LSN-B1-04,LSN,B1,28,17,0.61,56800
LSN-B1-05,LSN,B1,12,8,0.67,59600
LSN-B1-06,LSN,B1,18,13,0.72,62400
LSN-B2-01,LSN,B2,24,12,0.50,65200
LSN-B2-02,LSN,B2,30,18,0.60,68000
LSN-B2-03,LSN,B2,14,9,0.64,70800
LSN-B2-04,LSN,B2,20,15,0.75,73600
LSN-B2-05,LSN,B2,26,14,0.54,76400
LSN-B2-06,LSN,B2,32,19,0.59,79200
LSN-C1-01,LSN,C1,16,11,0.69,54000
LSN-C1-02,LSN,C1,22,16,0.73,56800
LSN-C1-03,LSN,C1,28,15,0.54,59600
LSN-C1-04,LSN,C1,12,7,0.58,62400
LSN-C1-05,LSN,C1,18,12,0.67,65200
LSN-C1-06,LSN,C1,24,18,0.75,68000
LSN-C2-01,LSN,C2,30,16,0.53,70800
LSN-C2-02,LSN,C2,14,8,0.57,73600
LSN-C2-03,LSN,C2,20,13,0.65,76400
LSN-C2-04,LSN,C2,26,19,0.73,79200
LSN-C2-05,LSN,C2,32,17,0.53,54000
LSN-C2-06,LSN,C2,16,9,0.56,56800
